name,symbol,atomic_number,atomic_mass,density,group,melting_point,boiling_point
Plutonium,Pu,94,244.0,19.7,,913.15,3501.15
Americium,Am,95,243.0,12.0,,1449.15,
Curium,Cm,96,247.0,13.51,,1618.15,
Berkelium,Bk,97,247.0,14.78,,1259.15,
Californium,Cf,98,251.0,15.1,,1173.15,
Einsteinium,Es,99,252.0,8.84,,1133.15,
Fermium,Fm,100,257.0,9.7,,1800.15,
Mendelevium,Md,101,258.0,10.3,,1100.15,
Nobelium,No,102,259.0,9.9,,1100.15,
Lawrencium,Lr,103,262.0,15.6,,1900.15,
Rutherfordium,Rf,104,267.0,23.3,4,{},{}
Dubnium,Db,105,268.0,29.3,5,{},{}
Seaborgium,Sg,106,271.0,35.0,6,{},{}
Bohrium,Bh,107,274.0,37.1,7,{},{}
Hassium,Hs,108,269.0,40.7,8,{},{}
Meitnerium,Mt,109,276.0,37.4,9,{},{}
Darmstadtium,Ds,110,281.0,34.8,10,{},{}
Roentgenium,Rg,111,281.0,28.7,11,{},{}
Copernicium,Cn,112,285.0,14.0,12,{},{}
Nihonium,Nh,113,286.0,16.0,13,{},{}
Flerovium,Fl,114,289.0,9.928,14,{},{}
Moscovium,Mc,115,288.0,13.5,15,{},{}
Livermorium,Lv,116,293.0,12.9,16,{},{}
Tennessine,Ts,117,294.0,7.2,17,{},{}
Oganesson,Og,118,294.0,7.0,18,{},{}
